date,zones,landings
5/29/2021,west,2458.909836
5/30/2021,west,2458.909836
5/31/2021,west,2458.909836
6/1/2021,west,2458.909836
6/2/2021,west,2458.909836
6/3/2021,west,2458.909836
6/4/2021,west,2458.909836
6/5/2021,west,2458.909836
6/6/2021,west,2458.909836
6/7/2021,west,2458.909836
6/8/2021,west,2458.909836
6/9/2021,west,2458.909836
6/10/2021,west,2458.909836
6/11/2021,west,2458.909836
6/12/2021,west,2458.909836
6/13/2021,west,2458.909836
6/14/2021,west,2458.909836
6/15/2021,west,2458.909836
6/16/2021,west,2458.909836
6/17/2021,west,2458.909836
6/18/2021,west,2458.909836
6/19/2021,west,2458.909836
6/20/2021,west,2458.909836
6/21/2021,west,2458.909836
6/22/2021,west,2458.909836
6/23/2021,west,2458.909836
6/24/2021,west,2458.909836
6/25/2021,west,2458.909836
6/26/2021,west,2458.909836
6/27/2021,west,2458.909836
6/28/2021,west,2458.909836
6/29/2021,west,2458.909836
6/30/2021,west,2458.909836
7/1/2021,west,3327.580645
7/2/2021,west,3327.580645
7/3/2021,west,3327.580645
7/4/2021,west,3327.580645
7/5/2021,west,3327.580645
7/6/2021,west,3327.580645
7/7/2021,west,3327.580645
7/8/2021,west,3327.580645
7/9/2021,west,3327.580645
7/10/2021,west,3327.580645
7/11/2021,west,3327.580645
7/12/2021,west,3327.580645
7/13/2021,west,3327.580645
7/14/2021,west,3327.580645
7/15/2021,west,3327.580645
7/16/2021,west,3327.580645
7/17/2021,west,3327.580645
7/18/2021,west,3327.580645
7/19/2021,west,3327.580645
7/20/2021,west,3327.580645
7/21/2021,west,3327.580645
7/22/2021,west,3327.580645
7/23/2021,west,3327.580645
7/24/2021,west,3327.580645
7/25/2021,west,3327.580645
7/26/2021,west,3327.580645
7/27/2021,west,3327.580645
7/28/2021,west,3327.580645
7/29/2021,west,3327.580645
7/30/2021,west,3327.580645
7/31/2021,west,3327.580645
8/1/2020,east,5352
8/2/2020,east,5352
8/3/2020,east,5352
8/4/2020,east,5352
8/5/2020,east,5352
8/6/2020,east,5352
8/7/2020,east,5352
8/8/2020,east,5352
8/9/2020,east,5352
8/10/2020,east,5352
8/11/2020,east,5352
8/12/2020,east,5352
8/13/2020,east,5352
8/14/2020,east,5352
8/15/2020,east,5352
8/16/2020,east,5352
8/17/2020,east,5352
8/18/2020,east,5352
8/19/2020,east,5352
8/20/2020,east,5352
8/21/2020,east,5352
8/22/2020,east,5352
8/23/2020,east,5352
8/24/2020,east,5352
8/25/2020,east,5352
8/26/2020,east,5352
8/27/2020,east,5352
8/28/2020,east,5352
8/29/2020,east,5352
8/30/2020,east,5352
8/31/2020,east,5352
9/1/2020,east,18478.86885
9/2/2020,east,18478.86885
9/3/2020,east,18478.86885
9/4/2020,east,18478.86885
9/5/2020,east,18478.86885
9/6/2020,east,18478.86885
9/7/2020,east,18478.86885
9/8/2020,east,18478.86885
9/9/2020,east,18478.86885
9/10/2020,east,18478.86885
9/11/2020,east,18478.86885
9/12/2020,east,18478.86885
9/13/2020,east,18478.86885
9/14/2020,east,18478.86885
9/15/2020,east,18478.86885
9/16/2020,east,18478.86885
9/17/2020,east,18478.86885
9/18/2020,east,18478.86885
9/19/2020,east,18478.86885
9/20/2020,east,18478.86885
9/21/2020,east,18478.86885
9/22/2020,east,18478.86885
9/23/2020,east,18478.86885
9/24/2020,east,18478.86885
9/25/2020,east,18478.86885
9/26/2020,east,18478.86885
9/27/2020,east,18478.86885
9/28/2020,east,18478.86885
9/29/2020,east,18478.86885
9/30/2020,east,18478.86885
10/1/2020,east,18478.86885
10/2/2020,east,18478.86885
10/3/2020,east,18478.86885
10/4/2020,east,18478.86885
10/5/2020,east,18478.86885
10/6/2020,east,18478.86885
10/7/2020,east,18478.86885
10/8/2020,east,18478.86885
10/9/2020,east,18478.86885
10/10/2020,east,18478.86885
10/11/2020,east,18478.86885
10/12/2020,east,18478.86885
10/13/2020,east,18478.86885
10/14/2020,east,18478.86885
10/15/2020,east,18478.86885
10/16/2020,east,18478.86885
10/17/2020,east,18478.86885
10/18/2020,east,18478.86885
10/19/2020,east,18478.86885
10/20/2020,east,18478.86885
10/21/2020,east,18478.86885
10/22/2020,east,18478.86885
10/23/2020,east,18478.86885
10/24/2020,east,18478.86885
10/25/2020,east,18478.86885
10/26/2020,east,18478.86885
10/27/2020,east,18478.86885
10/28/2020,east,18478.86885
10/29/2020,east,18478.86885
10/30/2020,east,18478.86885
10/31/2020,east,18478.86885
11/1/2020,east,2843.825137
11/2/2020,east,2843.825137
11/3/2020,east,2843.825137
11/4/2020,east,2843.825137
11/5/2020,east,2843.825137
11/6/2020,east,2843.825137
11/7/2020,east,2843.825137
11/8/2020,east,2843.825137
11/9/2020,east,2843.825137
11/10/2020,east,2843.825137
11/11/2020,east,2843.825137
11/12/2020,east,2843.825137
11/13/2020,east,2843.825137
11/14/2020,east,2843.825137
11/15/2020,east,2843.825137
11/16/2020,east,2843.825137
11/17/2020,east,2843.825137
11/18/2020,east,2843.825137
11/19/2020,east,2843.825137
11/20/2020,east,2843.825137
11/21/2020,east,2843.825137
11/22/2020,east,2843.825137
11/23/2020,east,2843.825137
11/24/2020,east,2843.825137
11/25/2020,east,2843.825137
11/26/2020,east,2843.825137
11/27/2020,east,2843.825137
11/28/2020,east,2843.825137
11/29/2020,east,2843.825137
11/30/2020,east,2843.825137
12/1/2020,east,2843.825137
12/2/2020,east,2843.825137
12/3/2020,east,2843.825137
12/4/2020,east,2843.825137
12/5/2020,east,2843.825137
12/6/2020,east,2843.825137
12/7/2020,east,2843.825137
12/8/2020,east,2843.825137
12/9/2020,east,2843.825137
12/10/2020,east,2843.825137
12/11/2020,east,2843.825137
12/12/2020,east,2843.825137
12/13/2020,east,2843.825137
12/14/2020,east,2843.825137
12/15/2020,east,2843.825137
12/16/2020,east,2843.825137
12/17/2020,east,2843.825137
12/18/2020,east,2843.825137
12/19/2020,east,2843.825137
12/20/2020,east,2843.825137
12/21/2020,east,2843.825137
12/22/2020,east,2843.825137
12/23/2020,east,2843.825137
12/24/2020,east,2843.825137
12/25/2020,east,2843.825137
12/26/2020,east,2843.825137
12/27/2020,east,2843.825137
12/28/2020,east,2843.825137
12/29/2020,east,2843.825137
12/30/2020,east,2843.825137
12/31/2020,east,2843.825137
1/1/2021,east,7706.669492
1/2/2021,east,7706.669492
1/3/2021,east,7706.669492
1/4/2021,east,7706.669492
1/5/2021,east,7706.669492
1/6/2021,east,7706.669492
1/7/2021,east,7706.669492
1/8/2021,east,7706.669492
1/9/2021,east,7706.669492
1/10/2021,east,7706.669492
1/11/2021,east,7706.669492
1/12/2021,east,7706.669492
1/13/2021,east,7706.669492
1/14/2021,east,7706.669492
1/15/2021,east,7706.669492
1/16/2021,east,7706.669492
1/17/2021,east,7706.669492
1/18/2021,east,7706.669492
1/19/2021,east,7706.669492
1/20/2021,east,7706.669492
1/21/2021,east,7706.669492
1/22/2021,east,7706.669492
1/23/2021,east,7706.669492
1/24/2021,east,7706.669492
1/25/2021,east,7706.669492
1/26/2021,east,7706.669492
1/27/2021,east,7706.669492
1/28/2021,east,7706.669492
1/29/2021,east,7706.669492
1/30/2021,east,7706.669492
1/31/2021,east,7706.669492
2/1/2021,east,7706.669492
2/2/2021,east,7706.669492
2/3/2021,east,7706.669492
2/4/2021,east,7706.669492
2/5/2021,east,7706.669492
2/6/2021,east,7706.669492
2/7/2021,east,7706.669492
2/8/2021,east,7706.669492
2/9/2021,east,7706.669492
2/10/2021,east,7706.669492
2/11/2021,east,7706.669492
2/12/2021,east,7706.669492
2/13/2021,east,7706.669492
2/14/2021,east,7706.669492
2/15/2021,east,7706.669492
2/16/2021,east,7706.669492
2/17/2021,east,7706.669492
2/18/2021,east,7706.669492
2/19/2021,east,7706.669492
2/20/2021,east,7706.669492
2/21/2021,east,7706.669492
2/22/2021,east,7706.669492
2/23/2021,east,7706.669492
2/24/2021,east,7706.669492
2/25/2021,east,7706.669492
2/26/2021,east,7706.669492
2/27/2021,east,7706.669492
2/28/2021,east,7706.669492
3/1/2021,east,19088.14754
3/2/2021,east,19088.14754
3/3/2021,east,19088.14754
3/4/2021,east,19088.14754
3/5/2021,east,19088.14754
3/6/2021,east,19088.14754
3/7/2021,east,19088.14754
3/8/2021,east,19088.14754
3/9/2021,east,19088.14754
3/10/2021,east,19088.14754
3/11/2021,east,19088.14754
3/12/2021,east,19088.14754
3/13/2021,east,19088.14754
3/14/2021,east,19088.14754
3/15/2021,east,19088.14754
3/16/2021,east,19088.14754
3/17/2021,east,19088.14754
3/18/2021,east,19088.14754
3/19/2021,east,19088.14754
3/20/2021,east,19088.14754
